gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG000001871,,102.18,-4.1628,0.4712,-11.0531,9.606169968357735e-05,0.0005761695032226931
ENSG000002302,,32.32,2.2543,0.4703,14.6852,0.0002515252484693484,0.0005771842296134237
ENSG000004463,,436.85,-5.0025,0.4877,-11.1178,0.0005035176949276642,0.000596455898609365
ENSG000004773,,419.5,4.4422,0.38,36.9089,0.0003820779418075258,0.0005996226526797685
ENSG000002426,,1.16,2.581,0.1699,9.8037,0.0009621207059324841,0.0006044580760912391
ENSG000002687,,30.31,-5.319,0.4354,-25.6255,0.0007882163542119848,0.0006131790516075163
ENSG000003102,,3.47,-4.9809,0.1998,-68.7454,0.0003993971492976371,0.0006339050021350951
ENSG000004267,,37.84,-4.7749,0.1334,-13.7692,0.0018705388504841418,0.0006356652649659499
ENSG000002307,,23.0,2.7336,0.2736,10.8319,0.002478258921414458,0.0006424009541433638
ENSG000004104,,140.13,5.3105,0.3468,20.8749,0.00048404632721461523,0.0006462896110733728
ENSG000003120,,37.52,3.2612,0.3355,10.8677,0.0009844773444829986,0.0006702753030932752
ENSG000004171,,545.16,-1.7804,0.27,-14.0151,0.0007652596459950903,0.0006703170366994904
ENSG000004569,,223.67,-2.466,0.0699,-5.9379,0.00024843197595329633,0.0006804915516634844
ENSG000003296,,93.17,-3.7527,0.4229,-34.1462,0.00030026946014159625,0.0006814790150223447
ENSG000003713,,112.2,1.5634,0.3563,4.0809,0.001623873467491419,0.0006845893964199717
ENSG000001689,,53.46,5.5563,0.1868,18.5782,0.0011479743261921464,0.0006862526754594511
ENSG000001386,,2657.61,-2.2035,0.4654,-5.0132,0.0009142854713064539,0.0006939231889318913
ENSG000002807,,31.45,-3.1584,0.3809,-18.6486,0.003024245246494959,0.0007044525669218374
ENSG000003195,,302.28,2.6381,0.098,6.5717,0.0006575694142284581,0.0007510029437586337
ENSG000003656,,260.45,2.2726,0.271,5.8711,0.0010671560050403523,0.0007515256106454672
ENSG000003925,,36.2,1.6609,0.1005,3.3668,0.0003078586208146911,0.0007715725148677455
ENSG000002821,,12.7,-2.5664,0.1477,-25.239,0.0016221510574055409,0.000779554400429069
ENSG000000897,,400.51,2.1131,0.3603,7.0111,0.000609350082903437,0.0008168969937171911
ENSG000004795,,1176.8,5.6488,0.3021,17.3648,0.0004243821582356716,0.0008386039897670021
ENSG000000082,,2833.84,-5.4104,0.1701,-55.5591,0.0005634214764324253,0.0008486359845437325
ENSG000004910,,15.65,2.5909,0.1544,5.9404,0.0002201447831685851,0.0008627828879566843
ENSG000001337,,204.44,-0.184,0.1456,-1.0283,0.000554184585253914,0.000866506942386645
ENSG000002511,,14.81,4.9884,0.4237,24.544,0.0004009667748467677,0.0008771469604179038
ENSG000000489,,22.0,-5.6361,0.34,-15.6419,0.0010343007373591296,0.0008778321177864111
ENSG000001365,,504.88,2.4233,0.0977,10.3799,0.0011302289239027853,0.0008867008589522139
ENSG000004353,,82.08,-4.853,0.2334,-15.3501,0.00018098626442338288,0.0009087541161597872
ENSG000004010,,23.94,-5.2636,0.3022,-32.9759,0.0008587504379199724,0.0009319484596399894
ENSG000002231,,331.15,2.2479,0.0754,10.7274,3.440682591127921e-05,0.0009408200821775652
ENSG000002758,,81.84,3.7661,0.1401,11.8504,0.0035144241697423494,0.0009501274755423911
ENSG000002995,,834.86,3.5593,0.0858,16.7857,0.0003133877146438281,0.0009669572452029155
ENSG000002584,,17.08,5.1332,0.2199,13.5604,0.005308721962114954,0.0009680945783042974
ENSG000001010,,12.54,5.0092,0.4066,12.3047,0.0003514060562512934,0.0009778621751890437
ENSG000001177,,898.22,5.4502,0.1997,64.1082,9.265062026591766e-06,0.000978469778248971
ENSG000003390,,22.23,4.8847,0.2749,13.1824,4.383271615356527e-06,0.0009792875809011704
ENSG000001562,,1822.32,-2.7147,0.4166,-5.6323,0.001131449634403828,0.0009992877309852645
ENSG000004693,,2.32,3.2455,0.1895,7.3608,2.1826383074721366e-05,0.001008125890186499
ENSG000004739,,914.99,5.567,0.2499,20.0552,0.0012243149225789679,0.0010237665125165957
ENSG000002118,,124.25,4.0116,0.3283,19.9608,0.0009632259503793916,0.0010482335789575774
ENSG000001369,,403.26,-2.5702,0.4673,-12.0997,0.0009423980348637705,0.001050393966340716
ENSG000004502,,275.48,5.8065,0.4352,13.6968,0.000560882696381899,0.001068724321861416
ENSG000000446,,852.51,-4.6083,0.387,-27.9919,0.0037086944133932283,0.0010732976675186287
ENSG000002456,,1896.74,5.4873,0.4027,54.0056,0.0018958025917118135,0.0010775909880162908
ENSG000000936,,12.62,5.8744,0.2034,17.0312,0.0025750058696018354,0.0010852222291020542
ENSG000002930,,13.62,-2.1772,0.4399,-15.9089,0.0033665333354550874,0.001098202797128995
ENSG000001000,,85.57,2.5539,0.361,6.2627,0.00664098001149555,0.0011134098435066034
ENSG000001142,,10.84,3.8091,0.3848,10.0849,0.000351718277660755,0.0011197820046703194
ENSG000004899,,493.18,-4.88,0.2296,-11.2886,8.015496837670083e-05,0.0011207093993847721
ENSG000000342,,46.51,-4.8877,0.4863,-9.873,0.0007736415695445669,0.0011279669635435325
ENSG000003536,,227.63,4.215,0.3606,12.0305,0.00018668576722413586,0.001132092670455018
ENSG000003596,,391.1,-2.03,0.0904,-15.4609,0.0004168583520307001,0.0011327253779116794
ENSG000004124,,50.62,-2.8656,0.2164,-20.9212,0.0002774752512824214,0.001166507283460381
ENSG000001316,,19948.54,-1.8104,0.3376,-3.8014,0.00037802089315671977,0.0011671313486139472
ENSG000004815,,131.93,-1.6666,0.3308,-11.0634,0.0005859006430601553,0.0012083371422185992
ENSG000004729,,198.68,2.2524,0.471,6.5465,0.004225716477995308,0.0012086606570195692
ENSG000002255,,54.57,-4.8622,0.3876,-11.841,0.0015518485463158942,0.0012100549499284654
ENSG000001669,,2551.11,-1.9679,0.2398,-12.881,0.0010655616331835818,0.0012262632227740325
ENSG000000967,,32.91,-4.2183,0.468,-26.6447,0.00015875397810902208,0.0012501248033636567
ENSG000004072,,1113.28,4.012,0.1014,11.6361,0.0006569328431391172,0.0012630544649592204
ENSG000001558,,18.25,-5.6104,0.3969,-17.1461,0.0031727923896180477,0.001294849393278096
ENSG000001263,,174.3,-3.4205,0.0955,-8.8458,0.001007997853552117,0.001305778448133375
ENSG000004134,ALK,29.06,4.9319,0.1292,19.3353,0.0010281358157244894,0.001326797648010178
ENSG000003795,,2805.36,-3.8794,0.1537,-8.1672,0.002465759881945967,0.0013383257663895976
ENSG000000858,,10189.23,-2.4154,0.1274,-14.7936,0.0009049934934288154,0.00134894605080816
ENSG000002592,,58.94,-2.479,0.403,-6.0009,0.00010324538328489207,0.0013597367581685848
ENSG000000593,,37.94,-5.0461,0.062,-34.5975,0.0003374279029234301,0.0013728151648841956
ENSG000001318,,208.7,2.5431,0.235,5.6363,0.0012606390200966585,0.0013774456137696349
ENSG000003612,,11.9,3.1814,0.3522,7.6258,0.00108275658254713,0.001381950577613548
ENSG000001808,,6051.42,3.7563,0.4629,44.6136,1.7788693735159782e-05,0.001386314041582493
ENSG000003637,,6466.12,-1.6258,0.112,-20.6441,0.00044171341968237733,0.0013968281640229783
ENSG000001034,,127.84,-4.7784,0.0662,-34.4544,0.00034502118034352857,0.0014038163560368409
ENSG000000499,,294.93,4.5272,0.4739,25.6046,0.0014311811245131419,0.0014375100614470368
ENSG000002666,,81.8,5.0485,0.341,15.8366,0.0012474128133433294,0.0014481930627505768
ENSG000002483,,19.81,-3.4431,0.1376,-15.3326,3.98377066036583e-05,0.0014643363913991216
ENSG000004996,,504.24,-4.8889,0.1975,-13.1332,0.00017505228694112166,0.0014650642739897266
ENSG000003470,,10.53,4.5654,0.098,13.187,0.00016080880613379434,0.001472094702277286
ENSG000002068,,174.74,2.6718,0.4054,6.2344,0.00423191144680614,0.0014995837543004757
ENSG000002812,,154.31,-3.334,0.3016,-23.7786,6.593121752692863e-05,0.001501287622007487
ENSG000003429,,5674.8,2.2566,0.2507,4.7211,0.0017652883795589943,0.001505683393068939
ENSG000002950,,8128.66,4.5682,0.4502,20.9778,0.0004782067812299476,0.0015397200212977824
ENSG000004866,,7.97,-1.6956,0.3,-7.8632,0.000894213022109755,0.0015497054643231409
ENSG000000857,JAK2,33.13,-2.742,0.1202,-19.5426,0.0011658847822334619,0.001561531840166791
ENSG000002198,,301.07,3.8457,0.2502,10.715,0.002516997352935276,0.0015647027958443861
ENSG000002477,,3.69,-2.0184,0.306,-33.7346,0.0009439898929997676,0.0015692047773722554
ENSG000004824,,458.26,2.8203,0.4631,12.9381,0.00028460265665208043,0.0015798701184358591
ENSG000002717,,80.85,2.6754,0.3273,6.7789,3.741965249933094e-05,0.0015869766221512818
ENSG000001899,,49.1,3.6319,0.4651,8.7781,0.00044300824263487063,0.0015935859049968316
ENSG000000868,,13.51,3.8705,0.0757,18.7344,0.00019873592056933304,0.001609919457441564
ENSG000001135,,78.18,2.4957,0.1435,8.7139,0.0005606673892526759,0.0016153160900090411
ENSG000004580,,609.06,4.1455,0.4842,15.3272,0.0011502001224849934,0.0016216596192281493
ENSG000002520,,1966.47,5.5176,0.3802,40.7747,0.0012775055852148594,0.0016248916906025396
ENSG000004107,SOS1,1696.83,-5.5669,0.2776,-23.3499,0.0004983123164104175,0.001626830730844886
ENSG000003255,,1286.87,-2.9862,0.2152,-8.5986,0.0003313798989716177,0.001633156473268537
ENSG000001447,,8.8,-3.8907,0.4122,-14.3649,0.0011080528946101804,0.0016406508705574128
ENSG000003141,,1577.81,4.3199,0.0644,41.7873,0.0008068890246021584,0.0016460250933056464
ENSG000003517,,398.99,1.6889,0.2094,10.1551,0.0009484556384739668,0.0016512730645106214
ENSG000000859,,1547.28,2.9383,0.4239,8.4631,0.00014844317753004565,0.0016651343296073308
ENSG000001355,,41.83,-2.2579,0.0909,-5.2306,0.0025923335441437496,0.0016665073605991168
ENSG000002867,,450.49,-5.9385,0.2093,-48.3006,1.2808967370769603e-05,0.0016917662659548874
ENSG000000895,,2.46,2.531,0.4626,8.1209,0.0035335231906435177,0.001697265426234601
ENSG000004269,,70.79,-3.3045,0.2067,-10.8648,0.0006808012467165674,0.0017173822402298839
ENSG000002476,,1781.82,4.4209,0.0778,64.8923,3.328209592720817e-05,0.001722684880451519
ENSG000004279,,64.8,2.1115,0.2597,6.5882,0.001175192334474794,0.0017334796481383893
ENSG000000758,,212.96,-2.0564,0.2749,-7.6872,0.0021374988560627357,0.0017359397497898625
ENSG000000726,,4679.92,4.1464,0.2125,33.511,0.000572584883326817,0.0017359456217902805
ENSG000003366,,12.32,5.3211,0.2222,23.4792,0.0013366271840223832,0.0017756603830264273
ENSG000003549,,5140.33,-4.7105,0.1026,-10.8858,0.00026705832668436356,0.0017863769596479903
ENSG000004726,,160.73,2.7356,0.45,10.9765,0.0032694291240163765,0.001796472559166949
ENSG000003774,,120.97,2.2927,0.1485,7.2969,0.001968618384077223,0.0018002989904264586
ENSG000000131,,51.95,-4.9446,0.1604,-48.5023,0.0005080981571316232,0.0018027985427555918
ENSG000004012,,11.61,5.1446,0.1431,19.2846,0.00039717863965975397,0.0018040957598921177
ENSG000002942,,44.29,3.0505,0.1551,7.3041,0.0012572668197799186,0.0018116826070550193
ENSG000003556,,945.14,-5.1418,0.4842,-17.5717,0.00037053240762636167,0.0018124845616784829
ENSG000000888,,940.4,-0.1078,0.2886,-0.322,0.0013198689843296751,0.001820086048446155
ENSG000000645,,9.48,-2.6858,0.3412,-5.8757,9.719621703959016e-06,0.0018331628114513835
ENSG000002605,,53.58,-5.2209,0.4589,-34.3963,0.0022551838627046443,0.0018370614545938735
ENSG000000361,,660.36,5.7778,0.3688,12.0677,0.0010488601972120475,0.0018467671263823193
ENSG000000915,,0.91,-1.5429,0.4343,-8.4777,1.3860305118482037e-05,0.0018487682695460556
ENSG000003383,,551.19,-2.0585,0.2703,-6.7237,2.471728558752506e-05,0.0018642978192063217
ENSG000000508,,1119.08,4.279,0.1314,23.0805,0.001009182132038732,0.001884543146314368
ENSG000000881,,253.35,2.463,0.2612,5.6553,0.00017980019005604746,0.0019224624145851017
ENSG000000295,,21.41,0.1071,0.141,0.2642,0.0017248221098407068,0.001942664389176213
ENSG000004918,,19995.26,-2.1654,0.225,-4.4618,0.0009052288933124483,0.0019836692501597726
ENSG000004687,,466.37,3.62,0.0552,8.9002,0.0010328897655251074,0.0020049856114988836
ENSG000000368,,176.07,-3.3421,0.3538,-9.1267,0.00015884862972994474,0.002017395492536057
ENSG000000059,,1380.58,-4.8196,0.4746,-30.069,0.0020297166943069275,0.002037912743700638
ENSG000000313,,269.17,-3.6098,0.1842,-9.9705,0.0002133140757852282,0.002053985578688475
ENSG000002522,,3326.51,-3.6947,0.2519,-43.1313,0.0010096432747876611,0.0020550357758068833
ENSG000001327,,61.22,4.4666,0.3833,10.8672,0.000543866752972202,0.002061263350637779
ENSG000004154,,276.56,-4.6875,0.067,-18.9738,0.0007083386388437667,0.0020613696465829985
ENSG000004163,,53.3,4.151,0.4036,46.6196,0.0007060231302634452,0.002089584445998154
ENSG000004554,,14765.69,4.0322,0.1158,11.4078,0.0008806100006827411,0.0021085627099553953
ENSG000002742,,134.04,3.4235,0.212,7.7456,0.000607644452432139,0.002109218998490929
ENSG000004472,,13.94,-3.389,0.467,-47.5193,0.007263681879426067,0.002130808962433346
ENSG000000334,,102.99,-2.975,0.1357,-6.6956,0.0003458826671413648,0.0021655945574992593
ENSG000003841,,269.97,4.3802,0.2791,10.6021,7.124963245512116e-05,0.002173662312946866
ENSG000003859,,105.34,4.5605,0.4992,10.6328,0.00553834139347857,0.00217806054727233
ENSG000003050,,1207.33,4.9789,0.3203,29.496,0.00023087945217519114,0.002181823319380068
ENSG000003295,,158.36,1.5831,0.3803,3.4297,0.0005481284369875104,0.0021906272728235312
ENSG000001767,,22.26,-4.6852,0.4014,-15.2838,0.0016857675220131835,0.002197308728289176
ENSG000004060,,899.4,2.904,0.1419,9.4472,2.2262087270324354e-05,0.0022039966056370637
ENSG000004934,,522.85,-5.5728,0.231,-15.3532,0.00021201218629427528,0.002209883720246199
ENSG000001343,,808.58,2.6617,0.2054,11.457,0.0007033263816454989,0.002239213112177641
ENSG000003905,,21.98,4.8381,0.2007,16.4742,0.001136798393760581,0.0022659662429451127
ENSG000001954,,41.5,2.2183,0.486,17.0154,0.00021091100357233854,0.002289534724059975
ENSG000000170,,68.77,1.6443,0.2564,7.8101,0.0005285364154516373,0.0022912921067927
ENSG000001589,,1280.28,-4.4431,0.2405,-12.6763,4.589561042966472e-05,0.002295561699137404
ENSG000001896,,393.76,-5.7002,0.4501,-22.3568,7.761504239038132e-05,0.0023020110302136654
ENSG000003083,,88.44,-3.4867,0.234,-7.3169,0.0005974333396299237,0.002322470135111187
ENSG000002958,,5.32,2.3718,0.2378,7.5093,0.0010293083625377863,0.002329930810456778
ENSG000004587,,809.16,-2.5856,0.2049,-5.2179,0.0014860339789429047,0.002359005666320971
ENSG000004856,,586.45,-3.9892,0.4253,-21.7482,0.001095220049333437,0.0023662223801379687
ENSG000002565,,9.88,-3.4136,0.1062,-8.3192,0.0018582604445574972,0.0023959959454337423
ENSG000004345,,60.8,3.7417,0.3322,16.2876,0.00011680855812951192,0.0024024565839354662
ENSG000002979,,7301.11,4.3078,0.1642,27.081,0.0003229404527151825,0.002412734544812125
ENSG000001878,,1909.79,-2.4492,0.4423,-7.2339,0.0023238747757361074,0.002417885736785417
ENSG000004774,,87.47,4.9072,0.254,28.257,0.0026164833294059363,0.0024259372651959906
ENSG000000079,,148.76,5.9708,0.2839,17.9731,0.0004461432496846149,0.0024260582148378407
ENSG000000767,,9.24,2.6779,0.3463,6.1055,0.0002870447523649149,0.0024444444973383927
ENSG000002459,,392.79,-2.4423,0.0604,-5.0126,0.0004150251680236312,0.0024568399501530133
ENSG000004445,,8.33,-2.4056,0.4693,-8.645,0.0021632906775444455,0.002460126160127407
ENSG000001769,,166.82,3.2887,0.3776,7.2002,0.0001314671110552142,0.002491931579082749
ENSG000000405,,163.08,-5.6186,0.096,-14.3871,0.0007085857370411725,0.002501162497287126
ENSG000000354,,1376.15,1.6504,0.4766,7.2975,0.001155694519125736,0.0025352633956047376
ENSG000003391,,660.07,-3.9469,0.4601,-9.069,0.0007376943689966258,0.002561326955376217
ENSG000002587,,587.3,-5.6145,0.3723,-11.7924,0.00016385393769408388,0.0025644425332588174
ENSG000001153,,89.3,3.6792,0.1772,28.2312,5.851834397512008e-05,0.002572247803522558
ENSG000003926,,180.81,3.9904,0.4357,9.8508,0.003898151829254172,0.0025933878610077394
ENSG000001141,,76.83,4.1128,0.0579,8.4285,0.00017289764521244254,0.0026237218228207003
ENSG000001613,,16.95,-5.838,0.4388,-34.1312,0.00034455867767033816,0.0026317136102709665
ENSG000003947,,703.16,1.6445,0.4327,4.6237,0.0004936330147018012,0.002633661063341086
ENSG000002834,,706.97,2.5446,0.2271,7.2702,0.0026813858956677215,0.002660413779710422
ENSG000002542,,111.41,4.7742,0.2012,26.9024,0.00013052429421297776,0.002668975423144238
ENSG000000183,,190.62,2.9905,0.4528,11.9635,0.003881291088954962,0.002691152663014177
ENSG000003855,,55.04,-4.9131,0.3134,-11.9083,0.0006106925171871519,0.0027118726224478755
ENSG000003375,,245.85,-0.5048,0.2038,-1.9114,0.001145950628256287,0.0027206895608060714
ENSG000004720,,5.19,2.6222,0.0894,7.3222,0.0003382741097305233,0.0027390171378838817
ENSG000001373,,57.78,2.8667,0.2589,32.6359,7.134299258185461e-05,0.0027394949012291814
ENSG000003368,,186.52,1.772,0.4974,24.3843,0.0016832315466983043,0.002762548755739462
ENSG000001830,,31.8,2.2264,0.1091,15.0845,0.0010341682200594605,0.002788537794940646
ENSG000000451,ERBB2,149.67,3.0515,0.1413,13.607,0.00012944349127542223,0.0027889062111218325
ENSG000001920,,156.24,-4.663,0.2031,-22.8856,0.001482512530605034,0.0028066088878306084
ENSG000002519,,4.28,3.6399,0.4654,10.7726,0.0006993030158529232,0.002820811101501202
ENSG000002407,,58.47,-0.3899,0.423,-2.3548,0.0014257282875326238,0.0028439399080348107
ENSG000001434,,54.68,4.0063,0.0791,8.1229,0.0002086002556981818,0.0028620966802469106
ENSG000000845,,269.58,3.2421,0.3258,10.2362,0.001276383332509937,0.0028658929419107856
ENSG000003216,,140.15,3.3754,0.4529,7.8205,0.0005902689509555464,0.002896987517880111
ENSG000002992,,5579.91,2.2744,0.1925,7.1364,0.0015045936712722136,0.0028987634648370503
ENSG000001566,,86.49,5.1712,0.1629,12.8437,0.0012182857029835415,0.002908079127160443
ENSG000001058,,146.06,-4.2128,0.4173,-12.4724,0.00013336166809515616,0.0029304529631813754
ENSG000002055,,16.18,4.148,0.4461,12.7102,4.974286700221885e-05,0.002936129767472968
ENSG000003287,,623.32,-3.7929,0.4295,-22.5148,8.151944027944446e-06,0.002945734764808484
ENSG000000251,,8.2,2.8744,0.1035,9.5597,0.001673276960253678,0.0029541084143389316
ENSG000003883,,42.04,3.7187,0.0663,9.4412,0.0006945593582013555,0.0029779602348178153
ENSG000004945,,46.04,-2.2581,0.3296,-15.6158,2.753698798339056e-05,0.0029971388850497035
ENSG000001745,,2701.11,5.9164,0.1439,61.5873,0.00011191419022767934,0.003010547419587712
ENSG000004707,,124.49,1.6283,0.0817,8.2467,0.0005884322571178741,0.003021444363008233
ENSG000002157,,22.66,-5.7487,0.3062,-20.4408,0.0013109505319801034,0.0030243060373245805
ENSG000004435,,226.77,5.5919,0.3221,13.3624,0.0012952884203673313,0.0030415679111162296
ENSG000002324,,520.48,-2.6335,0.0845,-8.875,0.003318943970438469,0.0030463845856658935
ENSG000001691,,167.06,-3.5117,0.1931,-8.6874,0.0005166550406495208,0.0030466053666418835
ENSG000001201,,79.43,5.4989,0.2896,27.373,5.480554970838151e-05,0.003087407233532304
ENSG000000909,,1.12,-5.619,0.1103,-14.5443,0.00555988748426905,0.003096909147018318
ENSG000001311,,1275.38,3.3443,0.0946,55.1957,0.0008342699070101288,0.00314205937964566
ENSG000004789,,106.53,2.0365,0.1441,8.3259,0.00016585174507560116,0.003172918185262482
ENSG000000694,,61.79,4.3321,0.3406,75.1064,0.00031658786858264283,0.00317759630068937
ENSG000003938,,340.82,-1.5675,0.4242,-10.455,0.0005798776987983042,0.0031930790997675013
