gene_id,gene_name,Control_1,Control_2,Control_3,Control_4,Treat_1,Treat_2,Treat_3,Treat_4
ENSMUSG000000099,Cd4,14,13,18,27,104,284,29,59
ENSMUSG000000100,Cd19,10,6,10,14,41,135,130,63
ENSMUSG000000101,Ms4a1,0,0,1,2,4,8,8,8
ENSMUSG000000102,Cd68,6,8,10,13,77,63,18,12
ENSMUSG000000103,Itgam,11,13,12,12,86,34,39,70
ENSMUSG000000104,Lyz,1,4,7,3,16,15,13,29
ENSMUSG000000105,Fcgr3a,5,10,11,4,86,106,81,93
ENSMUSG000000106,Ncam1,54,69,57,35,232,138,147,330
ENSMUSG000000107,,712,1016,1000,994,3266,7349,5819,4389
ENSMUSG000000108,,23,34,31,28,59,147,138,143
ENSMUSG000000109,,34,33,25,60,261,241,87,122
ENSMUSG000000110,,21,22,13,15,138,145,88,86
ENSMUSG000000111,,0,0,0,0,3,2,3,3
ENSMUSG000000112,,12,11,13,24,72,105,205,64
ENSMUSG000000113,,25,18,10,19,79,191,153,105
ENSMUSG000000114,,2571,2610,2243,3822,16866,28896,5540,11070
ENSMUSG000000115,,12,10,16,11,49,83,137,49
ENSMUSG000000116,,20,37,23,29,282,250,293,279
ENSMUSG000000117,,18,10,21,17,141,162,149,83
ENSMUSG000000118,,1,1,2,2,8,5,5,9
ENSMUSG000000119,,191,156,170,279,1478,1097,797,611
ENSMUSG000000120,,124,55,76,65,340,505,870,417
ENSMUSG000000121,,124,120,78,72,319,357,577,554
ENSMUSG000000122,,3,1,1,2,27,13,3,26
ENSMUSG000000123,,568,235,209,510,1479,1076,1346,445
ENSMUSG000000124,,0,1,2,1,2,10,7,3
ENSMUSG000000125,,95,65,65,49,408,147,375,167
ENSMUSG000000126,,1413,1040,1197,919,11454,11907,14081,9786
ENSMUSG000000127,,1,1,2,0,7,11,25,6
ENSMUSG000000128,,4,8,3,6,6,23,36,30
ENSMUSG000000129,,33,33,20,42,109,189,63,112
ENSMUSG000000130,,5,3,9,13,78,41,42,62
ENSMUSG000000131,,0,1,0,0,6,3,3,3
ENSMUSG000000132,,28,30,17,35,75,39,105,172
ENSMUSG000000133,,0,4,2,2,10,6,11,13
ENSMUSG000000134,,45,48,68,93,171,418,318,134
ENSMUSG000000135,,0,3,2,0,36,28,3,15
ENSMUSG000000136,,629,327,346,695,2023,4492,1831,797
ENSMUSG000000137,,2,2,2,5,12,21,24,16
ENSMUSG000000138,,12,3,5,11,78,95,41,28
ENSMUSG000000139,,131,46,166,109,336,553,570,466
ENSMUSG000000140,,1,0,4,0,8,2,8,14
ENSMUSG000000141,,33,28,53,20,178,220,187,211
ENSMUSG000000142,,351,201,277,232,2785,1705,2291,2165
ENSMUSG000000143,,1,0,0,0,4,5,2,9
ENSMUSG000000144,,30,16,34,24,89,96,99,75
ENSMUSG000000145,,31,30,18,22,42,406,188,199
ENSMUSG000000146,,118,49,74,95,487,408,277,1164
ENSMUSG000000147,,4,2,2,3,14,9,11,13
ENSMUSG000000148,,3,2,6,2,4,2,4,11
ENSMUSG000000149,,47,50,50,59,99,152,321,453
ENSMUSG000000150,,36,33,28,33,218,337,98,330
ENSMUSG000000151,,23,44,27,21,4,9,1,18
ENSMUSG000000152,,23,41,21,56,14,8,23,8
ENSMUSG000000153,,3,6,3,5,2,2,0,3
ENSMUSG000000154,,12,28,32,23,9,10,6,8
ENSMUSG000000155,,46,41,30,72,7,7,5,20
ENSMUSG000000156,,5,8,5,6,0,2,2,0
ENSMUSG000000157,,962,1051,733,820,106,186,119,77
ENSMUSG000000158,,67,60,43,56,12,1,15,11
ENSMUSG000000159,,3,0,0,2,1,0,0,0
ENSMUSG000000160,,73,64,56,76,46,19,6,11
ENSMUSG000000161,,3,2,3,3,0,0,0,0
ENSMUSG000000162,,154,136,75,87,5,44,13,41
ENSMUSG000000163,,176,151,183,378,60,11,51,9
ENSMUSG000000164,,2,0,4,4,0,0,0,1
ENSMUSG000000165,,159,134,89,94,31,14,23,68
ENSMUSG000000166,,49,66,29,21,25,6,10,6
ENSMUSG000000167,,116,130,127,99,7,54,27,11
ENSMUSG000000168,,736,726,775,914,472,199,328,126
ENSMUSG000000169,,20,14,9,9,1,3,1,3
ENSMUSG000000170,,4,7,2,8,1,1,1,3
ENSMUSG000000171,,2,3,4,3,1,0,0,2
ENSMUSG000000172,,1,3,6,5,0,4,1,0
ENSMUSG000000173,,16,14,14,12,1,5,0,3
ENSMUSG000000174,,40,44,28,51,15,10,2,14
ENSMUSG000000175,,33,44,12,27,8,5,5,9
ENSMUSG000000176,,180,165,79,154,15,56,32,14
ENSMUSG000000177,,19,12,27,31,2,9,13,3
ENSMUSG000000178,,658,390,305,313,78,21,44,63
ENSMUSG000000179,,17,7,12,14,0,6,1,1
ENSMUSG000000180,,4320,4335,2766,4279,1375,1101,2767,860
ENSMUSG000000181,,95,43,54,54,32,20,6,32
ENSMUSG000000182,,3,3,3,4,0,1,0,1
ENSMUSG000000183,,1,2,2,1,2,1,0,1
ENSMUSG000000184,,76,67,66,37,8,3,12,6
ENSMUSG000000185,,11,8,20,7,3,7,3,1
ENSMUSG000000186,,138,90,59,70,11,20,45,2
ENSMUSG000000187,,50,18,68,42,9,12,4,13
ENSMUSG000000188,,17,11,23,25,7,1,1,5
ENSMUSG000000189,,4,7,7,4,0,0,0,6
ENSMUSG000000190,,0,0,0,2,0,0,0,0
ENSMUSG000000191,,7,14,5,5,1,0,4,0
ENSMUSG000000192,,122,94,36,110,6,46,13,16
ENSMUSG000000193,,33,19,19,18,9,11,8,15
ENSMUSG000000194,,2,2,3,0,0,0,0,0
ENSMUSG000000195,,44,26,23,19,2,8,18,1
ENSMUSG000000196,,29,62,31,26,8,36,11,18
ENSMUSG000000197,,8,3,1,3,0,0,0,0
ENSMUSG000000198,,43,12,14,22,2,25,3,0
ENSMUSG000000199,,23,11,22,43,1,1,7,9
ENSMUSG000000200,,1,4,1,1,0,0,0,0
ENSMUSG000000201,,34,48,41,25,18,3,9,9
ENSMUSG000000202,,21,105,58,51,13,13,21,2
ENSMUSG000000203,,114,130,206,196,53,38,11,61
ENSMUSG000000204,,126,153,137,151,32,61,50,37
ENSMUSG000000205,,3,2,2,1,0,0,0,0
ENSMUSG000000206,,1,5,5,3,0,2,0,0
ENSMUSG000000207,,66,62,29,29,25,4,4,16
ENSMUSG000000208,,105,96,45,40,5,9,18,9
ENSMUSG000000209,,46,62,45,23,19,20,21,12
ENSMUSG000000210,,41932,46427,39080,76437,2349,13145,15058,24748
ENSMUSG000000211,,88,46,16,67,4,11,17,31
ENSMUSG000000212,,172,185,165,159,24,18,54,72
ENSMUSG000000213,,82,95,198,179,75,23,19,19
ENSMUSG000000214,,63,77,127,36,8,22,13,8
ENSMUSG000000215,,17,8,16,12,4,0,0,3
ENSMUSG000000216,,65,89,103,87,33,21,21,17
ENSMUSG000000217,,1,1,7,6,2,1,1,0
ENSMUSG000000218,,13,11,10,7,12,1,3,1
ENSMUSG000000219,,14,6,2,6,1,1,2,1
ENSMUSG000000220,,27,22,20,16,3,5,5,2
ENSMUSG000000221,,2385,3324,2917,1895,131,373,90,580
ENSMUSG000000222,,0,1,2,0,0,1,0,0
ENSMUSG000000223,,77,52,147,72,12,6,6,7
ENSMUSG000000224,,3,0,1,0,0,0,2,0
ENSMUSG000000225,,10,7,4,15,1,5,4,1
ENSMUSG000000226,,263,124,165,218,31,38,10,72
ENSMUSG000000227,,25,23,13,25,1,4,13,6
ENSMUSG000000228,,4,1,2,0,0,0,0,1
ENSMUSG000000229,,5,2,2,4,3,1,1,4
ENSMUSG000000230,,38,88,91,126,26,31,34,20
ENSMUSG000000231,,3,4,4,4,1,0,3,0
ENSMUSG000000232,,21,37,25,38,3,24,0,7
ENSMUSG000000233,,30,24,27,23,9,6,8,0
ENSMUSG000000234,,7,3,6,7,0,0,0,2
ENSMUSG000000235,,1195,1662,1297,2506,39,392,91,263
ENSMUSG000000236,,84,115,66,88,3,7,23,23
ENSMUSG000000237,,0,0,0,0,0,0,0,0
ENSMUSG000000238,,26,19,35,24,8,13,1,5
ENSMUSG000000239,,2,2,3,3,0,1,1,0
ENSMUSG000000240,,185,133,189,67,42,12,13,37
ENSMUSG000000241,,5,3,0,3,1,0,1,2
ENSMUSG000000242,,10,8,13,22,10,1,6,3
ENSMUSG000000243,,39,60,56,61,20,0,21,11
ENSMUSG000000244,,138,159,121,114,19,5,37,27
ENSMUSG000000245,,2,2,0,4,0,0,0,0
ENSMUSG000000246,,9,14,11,11,3,5,3,1
ENSMUSG000000247,,6,10,8,6,0,7,2,0
ENSMUSG000000248,,7,7,5,10,0,1,2,0
ENSMUSG000000249,,456,699,480,709,362,221,147,109
ENSMUSG000000250,,21,39,23,50,7,8,5,9
ENSMUSG000000251,,1,1,4,2,1,0,0,0
ENSMUSG000000252,,98,75,112,149,31,42,20,10
ENSMUSG000000253,,1298,1150,1118,724,557,402,214,512
ENSMUSG000000254,,227,79,135,114,56,59,43,17
ENSMUSG000000255,,4,2,0,0,0,0,0,0
ENSMUSG000000256,,3,7,6,5,3,4,1,2
ENSMUSG000000257,,134,235,336,271,63,177,44,31
ENSMUSG000000258,,6,10,1,1,1,0,1,3
ENSMUSG000000259,,40,27,42,32,19,19,23,3
ENSMUSG000000260,,94,66,94,150,24,19,3,16
ENSMUSG000000261,,3,8,4,5,0,0,0,0
ENSMUSG000000262,,26,17,13,23,2,7,4,5
ENSMUSG000000263,,0,0,0,0,0,0,0,0
ENSMUSG000000264,,1,6,4,4,1,0,1,1
ENSMUSG000000265,,6,11,11,14,2,5,2,2
ENSMUSG000000266,,0,2,1,0,0,1,1,1
ENSMUSG000000267,,425,250,770,668,97,130,188,100
ENSMUSG000000268,,1,1,2,0,0,0,0,0
ENSMUSG000000269,,2,6,8,8,3,1,4,4
ENSMUSG000000270,,44,43,13,26,2,11,14,5
ENSMUSG000000271,,419,305,359,361,333,342,146,544
ENSMUSG000000272,,2,1,2,2,2,0,2,0
ENSMUSG000000273,,183,134,237,249,298,148,216,356
ENSMUSG000000274,,22,43,19,24,30,13,17,35
ENSMUSG000000275,,9,4,5,2,5,4,2,1
ENSMUSG000000276,,58,58,83,64,29,35,45,94
ENSMUSG000000277,,33,35,34,36,31,18,18,42
ENSMUSG000000278,,11,4,4,7,6,6,4,3
ENSMUSG000000279,,21,23,24,32,37,40,15,30
ENSMUSG000000280,,7,9,9,10,15,8,9,14
ENSMUSG000000281,,19,34,19,26,20,33,38,13
ENSMUSG000000282,,82,104,67,64,75,93,77,45
ENSMUSG000000283,,735,539,388,407,600,781,658,546
ENSMUSG000000284,,2,7,4,1,1,0,2,0
ENSMUSG000000285,,2361,3050,1441,1156,1910,1450,1486,1060
ENSMUSG000000286,,0,0,0,1,0,1,1,0
ENSMUSG000000287,,15,7,12,8,14,15,23,16
ENSMUSG000000288,,89,69,76,86,52,63,49,61
ENSMUSG000000289,,20,37,26,11,49,34,40,37
ENSMUSG000000290,,5,8,1,5,5,2,2,3
ENSMUSG000000291,,5,10,10,8,10,6,14,14
ENSMUSG000000292,,10,14,11,7,11,3,7,15
ENSMUSG000000293,,6,2,0,7,12,5,4,9
ENSMUSG000000294,,266,139,157,182,113,126,72,64
ENSMUSG000000295,,42,49,46,29,44,19,78,54
ENSMUSG000000296,,2,6,2,6,6,2,4,4
ENSMUSG000000297,,188,85,122,157,99,122,95,134
ENSMUSG000000298,,46,22,30,27,31,86,17,31
ENSMUSG000000299,,109,151,185,99,153,70,112,84
ENSMUSG000000300,,77,67,130,83,60,116,45,103
ENSMUSG000000301,,1,4,5,2,1,3,2,6
ENSMUSG000000302,,13,9,16,3,6,14,7,5
ENSMUSG000000303,,67,90,70,65,47,93,102,61
ENSMUSG000000304,,26,63,105,61,61,54,89,81
ENSMUSG000000305,,20,19,37,9,13,18,32,26
ENSMUSG000000306,,31,9,43,34,27,33,23,23
ENSMUSG000000307,,234,208,178,242,343,230,214,232
ENSMUSG000000308,,5,7,2,4,7,8,3,5
ENSMUSG000000309,,74,26,68,56,48,36,38,52
ENSMUSG000000310,,16,6,16,18,13,6,18,24
ENSMUSG000000311,,16,19,18,2,23,6,7,15
ENSMUSG000000312,,159,117,183,238,277,119,150,171
ENSMUSG000000313,,185,170,63,147,95,83,110,79
ENSMUSG000000314,,57,59,127,56,152,96,64,117
ENSMUSG000000315,,158,276,174,271,331,187,288,328
ENSMUSG000000316,,13,21,28,19,23,15,27,22
ENSMUSG000000317,,125,71,34,82,108,105,52,78
ENSMUSG000000318,,7,6,11,13,9,7,10,9
ENSMUSG000000319,,22,27,44,25,56,27,28,49
ENSMUSG000000320,,19,13,12,9,22,19,24,21
ENSMUSG000000321,,44,26,17,28,23,18,43,10
ENSMUSG000000322,,119,31,56,19,38,55,64,92
ENSMUSG000000323,,4,1,4,3,6,6,3,6
ENSMUSG000000324,,746,1351,1422,948,1184,1812,1121,1643
ENSMUSG000000325,,2,0,2,0,5,0,4,1
ENSMUSG000000326,,4,2,0,0,1,1,2,2
ENSMUSG000000327,,196,115,259,101,270,86,249,217
ENSMUSG000000328,,126,151,70,103,164,78,67,64
ENSMUSG000000329,,103,77,74,70,79,101,48,57
ENSMUSG000000330,,130,63,44,63,18,120,80,116
ENSMUSG000000331,,18,16,23,19,17,26,20,17
ENSMUSG000000332,,7,6,4,5,1,7,3,3
ENSMUSG000000333,,28,21,8,11,26,40,30,28
ENSMUSG000000334,,10,4,5,6,1,4,4,5
ENSMUSG000000335,,173,53,188,178,90,108,111,164
ENSMUSG000000336,,10,4,18,17,20,12,17,15
ENSMUSG000000337,,1,4,1,5,4,5,4,6
ENSMUSG000000338,,15,3,17,10,6,12,10,12
ENSMUSG000000339,,37,47,40,34,55,55,37,33
ENSMUSG000000340,,5,9,2,5,7,14,9,6
ENSMUSG000000341,,1,2,6,6,8,5,7,3
ENSMUSG000000342,,25,18,14,22,48,43,46,34
ENSMUSG000000343,,42,9,37,23,32,32,17,23
ENSMUSG000000344,,7,12,9,7,11,10,5,9
ENSMUSG000000345,,7,5,7,6,15,8,13,4
ENSMUSG000000346,,28,104,46,16,28,45,56,21
ENSMUSG000000347,,2,0,0,0,0,0,2,1
ENSMUSG000000348,,0,1,2,4,0,0,2,0
ENSMUSG000000349,,7,3,2,12,4,8,4,7
ENSMUSG000000350,,13,9,19,20,11,19,18,8
ENSMUSG000000351,,45,43,42,35,26,60,27,29
ENSMUSG000000352,,533,329,367,486,641,181,256,255
ENSMUSG000000353,,131,105,88,180,93,182,107,155
ENSMUSG000000354,,11,15,9,9,12,12,12,7
ENSMUSG000000355,,19,13,25,11,28,20,14,14
ENSMUSG000000356,,4,3,5,1,1,1,3,0
ENSMUSG000000357,,5,33,29,18,27,22,14,11
ENSMUSG000000358,,25,12,17,13,10,12,14,26
ENSMUSG000000359,,18,14,51,45,30,39,21,66
ENSMUSG000000360,,0,3,11,13,5,8,1,6
ENSMUSG000000361,,59,40,69,27,55,70,56,28
ENSMUSG000000362,,534,610,507,606,504,844,365,606
ENSMUSG000000363,,47,19,11,12,23,8,21,37
ENSMUSG000000364,,59,35,43,52,36,30,33,42
ENSMUSG000000365,,76,83,117,127,90,68,64,52
ENSMUSG000000366,,13,10,19,8,6,6,7,12
ENSMUSG000000367,,32,27,21,16,13,13,34,42
ENSMUSG000000368,,22,27,22,17,17,8,15,10
ENSMUSG000000369,,25,29,20,28,20,38,27,22
ENSMUSG000000370,,2,3,7,1,3,10,4,5
ENSMUSG000000371,,14,18,18,16,21,19,23,19
ENSMUSG000000372,,52,48,87,46,44,52,31,24
ENSMUSG000000373,,493,354,268,524,450,357,367,273
ENSMUSG000000374,,130,201,61,164,98,182,186,84
ENSMUSG000000375,,634,2002,1337,1507,1633,1801,1459,974
ENSMUSG000000376,,5,3,4,5,6,3,3,2
ENSMUSG000000377,,136,107,148,168,112,126,141,161
ENSMUSG000000378,,31,25,18,30,44,30,36,12
ENSMUSG000000379,,2343,1251,1444,932,2744,836,1564,1448
ENSMUSG000000380,,10,4,2,3,6,1,3,4
ENSMUSG000000381,,0,3,4,3,1,6,4,6
ENSMUSG000000382,,5,9,5,7,7,11,3,9
ENSMUSG000000383,,0,0,0,0,0,0,0,2
ENSMUSG000000384,,6,16,7,8,6,13,4,10
ENSMUSG000000385,,5,8,5,2,8,5,8,4
ENSMUSG000000386,,22,37,13,12,28,32,30,42
ENSMUSG000000387,,51,20,43,44,38,25,45,31
ENSMUSG000000388,,853,1064,543,716,677,607,1229,766
ENSMUSG000000389,,95,253,163,107,100,141,111,84
ENSMUSG000000390,,9,5,8,10,2,4,4,9
ENSMUSG000000391,,3,1,3,4,2,5,1,4
ENSMUSG000000392,,65,53,46,49,61,79,90,23
ENSMUSG000000393,,0,2,2,1,1,1,0,3
ENSMUSG000000394,,1398,1031,684,995,705,779,1053,402
ENSMUSG000000395,,170,224,240,224,276,143,225,137
ENSMUSG000000396,,7,7,4,4,11,14,12,5
ENSMUSG000000397,,3,2,1,0,1,0,2,0
ENSMUSG000000398,,231,355,319,245,448,439,355,315
ENSMUSG000000399,,30,15,30,18,10,14,8,17
ENSMUSG000000400,,118,227,207,224,284,268,183,215
ENSMUSG000000401,,0,2,0,0,0,1,0,0
ENSMUSG000000402,,3,5,7,7,4,6,2,0
ENSMUSG000000403,,14,24,24,25,11,25,21,15
ENSMUSG000000404,,28,17,30,30,29,13,35,16
ENSMUSG000000405,,8,15,9,13,2,6,14,13
ENSMUSG000000406,,99,103,74,54,79,101,49,35
ENSMUSG000000407,,6,0,3,2,3,3,3,4
ENSMUSG000000408,,18,17,13,23,11,8,22,17
ENSMUSG000000409,,17,24,34,40,16,26,28,29
ENSMUSG000000410,,61,44,83,49,36,35,53,94
ENSMUSG000000411,,83,62,105,113,83,69,100,58
ENSMUSG000000412,,3,1,3,1,2,2,3,1
ENSMUSG000000413,,1,3,0,3,0,0,0,0
ENSMUSG000000414,,196,208,205,300,209,229,322,383
ENSMUSG000000415,,19,29,40,53,37,42,14,25
ENSMUSG000000416,,4,4,2,7,7,4,3,5
ENSMUSG000000417,,468,353,483,597,565,589,438,219
ENSMUSG000000418,,43,10,28,35,27,29,23,22
ENSMUSG000000419,,85,247,132,215,235,213,245,179
ENSMUSG000000420,,19,36,24,14,17,28,21,19
ENSMUSG000000421,,1531,1121,1361,1334,1179,1185,1322,1036
ENSMUSG000000422,,624,756,357,1312,585,531,499,917
ENSMUSG000000423,,13,17,7,11,1,12,16,17
ENSMUSG000000424,,140,121,107,103,206,156,91,129
ENSMUSG000000425,,59,67,42,30,80,69,131,32
ENSMUSG000000426,,249,331,194,380,313,272,168,313
ENSMUSG000000427,,2,1,4,2,5,1,1,1
ENSMUSG000000428,,66,64,104,56,126,64,134,88
ENSMUSG000000429,,131,216,85,191,61,229,206,100
ENSMUSG000000430,,0,1,1,1,0,3,0,1
ENSMUSG000000431,,1,3,2,3,3,1,4,2
ENSMUSG000000432,,2,0,0,0,0,0,0,0
ENSMUSG000000433,,12,5,13,4,10,8,12,7
ENSMUSG000000434,,61,79,90,75,68,52,62,79
ENSMUSG000000435,,268,276,385,241,273,410,413,394
ENSMUSG000000436,,10,26,15,17,20,11,37,40
ENSMUSG000000437,,436,628,535,569,514,465,894,777
ENSMUSG000000438,,0,0,1,1,2,0,2,3
ENSMUSG000000439,,0,0,1,0,0,2,1,0
ENSMUSG000000440,,26,16,16,22,15,17,13,8
ENSMUSG000000441,,41,32,38,33,70,37,32,43
ENSMUSG000000442,,12,24,20,29,12,16,41,17
ENSMUSG000000443,,0,0,0,0,0,0,0,0
ENSMUSG000000444,,24,25,13,11,25,19,23,15
ENSMUSG000000445,,1,3,4,1,0,0,0,0
ENSMUSG000000446,,52,46,60,61,81,89,37,96
ENSMUSG000000447,,37,36,37,52,35,47,55,63
ENSMUSG000000448,,5,2,3,3,4,4,1,4
ENSMUSG000000449,,2,5,9,5,2,4,2,7
ENSMUSG000000450,,2,2,3,1,4,0,4,4
ENSMUSG000000451,,21,21,22,18,19,23,9,15
ENSMUSG000000452,,114,154,157,151,216,151,113,94
ENSMUSG000000453,,0,3,4,3,3,2,0,9
ENSMUSG000000454,,90,70,58,29,66,34,86,46
ENSMUSG000000455,,4,6,5,8,6,3,4,6
ENSMUSG000000456,,3,2,5,2,5,3,3,5
ENSMUSG000000457,,8,16,14,20,14,22,8,9
ENSMUSG000000458,,1,0,5,3,1,4,3,4
ENSMUSG000000459,,4,7,7,13,6,6,11,7
ENSMUSG000000460,,2,0,3,3,1,2,1,7
ENSMUSG000000461,,628,787,1438,906,965,1031,592,812
ENSMUSG000000462,,22,20,23,26,20,26,12,10
ENSMUSG000000463,,6,2,3,5,5,5,6,7
ENSMUSG000000464,,24,23,11,49,37,18,22,26
ENSMUSG000000465,,10,17,21,32,8,12,24,15
ENSMUSG000000466,,19,15,9,18,11,11,10,10
ENSMUSG000000467,,58,111,35,43,40,64,40,66
ENSMUSG000000468,,84,134,57,60,144,32,108,144
ENSMUSG000000469,,6,4,10,5,7,3,2,8
ENSMUSG000000470,,4,10,2,11,6,4,7,7
ENSMUSG000000471,,14,8,19,11,8,10,10,12
ENSMUSG000000472,,0,0,0,0,0,0,0,0
ENSMUSG000000473,,1,1,0,0,1,0,0,0
ENSMUSG000000474,,383,404,271,304,320,439,202,123
